,From,To
7859,CFC7_t33,CCP5_t34
7860,CP2_t254,CP2_t255
7861,CP4_t31,CP4_t32
7862,CFC7_t173,CFC7_t174
7863,P2_t283,P2_t284
7864,P2_t192,P2_t193
7865,CP4_t220,CP4_t221
7866,P1_t276,P1_t277
7867,CP1_t94,CP1_t95
7868,CCP3_t137,CP3_t138
7869,CCP4_t127,CCP4_t128
7870,CFC4_t215,P6_t216
7871,CP1_t21,T7_t22
7872,CCP6_t235,C2_t236
7873,CP6_t240,CP6_t241
7874,FC1_t59,T7_t60
7875,CFC6_t167,CCP1_t168
7876,FC4_t92,FC4_t93
7877,CFC7_t179,CFC7_t180
7878,P5_t311,CFC5_t312
7879,P1_t103,CP3_t104
7880,P1_t113,CP4_t114
7881,CFC1_t235,CFC1_t236
7882,C2_t147,C2_t148
7883,C1_t330,C4_t331
7884,O2_t15,C5_t16
7885,CCP6_t94,CCP6_t95
7886,CCP2_t390,CCP2_t391
7887,C2_t395,C2_t396
7888,FC4_t282,FC4_t283
7889,CP1_t323,CFC6_t324
7890,T8_t223,T8_t224
7891,FC4_t261,P6_t262
7892,PO1_t351,PO1_t352
7893,F3_t184,C6_t185
7894,PO1_t382,CCP2_t383
7895,CP5_t0,CP5_t1
7896,P5_t235,P5_t236
7897,CP2_t60,CP2_t61
7898,O2_t0,O2_t1
7899,CP1_t273,CCP1_t274
7900,CFC5_t216,CCP8_t217
7901,PO2_t11,F1_t12
7902,P1_t51,CCP2_t52
7903,CCP2_t119,CCP2_t120
7904,FC2_t212,Pz_t213
7905,CPz_t385,FC6_t386
7906,Cz_t40,F1_t41
7907,FCz_t366,FCz_t367
7908,Fz_t153,FCz_t154
7909,PO1_t393,PO1_t394
7910,P2_t308,CPz_t309
7911,CCP7_t170,T8_t171
7912,T7_t234,T7_t235
7913,FC5_t385,FC5_t386
7914,CFC3_t394,T8_t395
7915,Fz_t102,Fz_t103
7916,CCP7_t257,CCP7_t258
7917,O2_t375,O2_t376
7918,PO1_t260,PO1_t261
7919,C5_t310,C5_t311
7920,C6_t49,C6_t50
7921,T8_t17,T8_t18
7922,FC3_t21,FC3_t22
7923,P2_t209,P4_t210
7924,CFC8_t274,PO1_t275
7925,C6_t117,C6_t118
7926,P4_t25,P4_t26
7927,P6_t134,P6_t135
7928,FC2_t291,FC2_t292
7929,CFC7_t67,O1_t68
7930,T7_t315,CP4_t316
7931,C5_t369,C3_t370
7932,FC1_t58,CCP5_t59
7933,CFC8_t333,P4_t334
7934,CFC2_t322,CCP3_t323
7935,O1_t351,O1_t352
7936,CP6_t236,C6_t237
7937,CP1_t90,CP1_t91
7938,CCP8_t136,CCP3_t137
7939,CCP4_t233,Pz_t234
7940,CP6_t226,CP6_t227
7941,P4_t121,P4_t122
7942,CFC4_t355,CFC4_t356
7943,CFC5_t152,CFC5_t153
7944,CP5_t239,O1_t240
7945,C4_t304,P1_t305
7946,CFC5_t386,CP1_t387
7947,AF3_t32,AF3_t33
7948,F5_t104,PO1_t105
7949,AF3_t149,FC5_t150
7950,CFC3_t364,CFC3_t365
7951,CCP4_t6,CP2_t7
7952,CFC1_t359,CP5_t360
7953,CCP7_t29,CCP7_t30
7954,CFC1_t308,CFC2_t309
7955,CCP3_t315,T7_t316
7956,CCP1_t336,CCP1_t337
7957,CCP6_t212,T7_t213
7958,F1_t125,AF4_t126
7959,CP3_t363,C4_t364
7960,AF3_t54,AF3_t55
7961,CPz_t165,CCP6_t166
7962,F3_t81,F3_t82
7963,CCP6_t166,CCP6_t167
7964,C4_t302,CCP5_t303
7965,CCP8_t89,T8_t90
7966,CFC2_t280,FC3_t281
7967,Fz_t234,Fz_t235
7968,O2_t339,Fz_t340
7969,O1_t266,FC1_t267
7970,PO2_t221,CPz_t222
7971,FC1_t312,CFC8_t313
7972,CCP7_t374,CCP7_t375
7973,P1_t384,P1_t385
7974,F6_t78,F6_t79
7975,CP2_t68,F1_t69
7976,CFC4_t213,CFC4_t214
7977,CFC7_t204,O1_t205
7978,CP3_t170,CP1_t171
7979,C6_t283,CCP5_t284
7980,F6_t127,CP3_t128
7981,Pz_t199,CCP3_t200
7982,O2_t337,AF4_t338
7983,O2_t7,C6_t8
7984,F6_t344,PO2_t345
7985,T8_t204,CFC5_t205
7986,PO2_t187,PO2_t188
7987,CFC3_t196,CFC3_t197
7988,CP2_t392,AF4_t393
7989,Pz_t199,P3_t200
7990,CP1_t138,CP1_t139
7991,T7_t173,C5_t174
7992,P2_t337,P2_t338
7993,Pz_t263,Pz_t264
7994,CCP1_t24,C1_t25
7995,AF3_t7,CPz_t8
7996,CFC7_t294,CCP8_t295
7997,FC2_t58,Fz_t59
7998,C3_t81,CP6_t82
7999,PO2_t96,PO2_t97
8000,T7_t200,T7_t201
8001,C2_t150,C2_t151
8002,PO1_t207,P1_t208
8003,CP5_t282,CP5_t283
8004,CP3_t238,F4_t239
8005,CFC7_t339,CFC7_t340
8006,T7_t371,CFC7_t372
8007,CP6_t111,CP6_t112
8008,CP2_t68,F4_t69
8009,CFC2_t266,O2_t267
8010,PO2_t275,PO2_t276
8011,CCP1_t37,FC4_t38
8012,F5_t257,F5_t258
8013,FC5_t320,CFC7_t321
8014,CP5_t75,CP5_t76
8015,F5_t77,F5_t78
8016,CFC3_t201,F3_t202
8017,Pz_t52,Pz_t53
8018,FCz_t384,AF3_t385
8019,F6_t37,F6_t38
8020,AF3_t48,AF3_t49
8021,AF4_t35,AF4_t36
8022,T7_t133,O2_t134
8023,CFC5_t358,CFC5_t359
8024,P3_t0,P3_t1
8025,C1_t55,C1_t56
8026,P3_t106,FC6_t107
8027,P4_t133,AF4_t134
8028,F5_t317,F5_t318
8029,CFC2_t35,CFC2_t36
8030,CP5_t0,CP6_t1
8031,CFC7_t42,CFC7_t43
8032,Cz_t199,FC1_t200
8033,CCP6_t345,CCP6_t346
8034,P6_t393,C4_t394
8035,Fz_t91,CP5_t92
8036,PO1_t256,PO1_t257
8037,CFC7_t351,F5_t352
8038,C3_t230,O1_t231
8039,P3_t37,P3_t38
8040,FC1_t149,CP5_t150
8041,CCP4_t289,CCP8_t290
8042,CFC7_t221,C5_t222
8043,CPz_t371,Fz_t372
8044,CFC6_t95,P6_t96
8045,CP4_t191,CFC4_t192
8046,C5_t351,C5_t352
8047,CFC6_t6,CFC6_t7
8048,CCP7_t113,CCP7_t114
8049,P4_t358,P4_t359
8050,C6_t60,CP6_t61
8051,CP3_t300,CP3_t301
8052,F6_t79,P5_t80
8053,CP1_t10,CP1_t11
8054,Fz_t208,CCP2_t209
8055,CFC4_t334,CFC4_t335
8056,PO1_t103,C1_t104
8057,C5_t78,C5_t79
8058,P4_t52,FC5_t53
8059,P3_t315,P3_t316
8060,P2_t150,P2_t151
8061,CFC8_t351,F6_t352
8062,Fz_t63,P1_t64
8063,CCP8_t231,Cz_t232
8064,CFC7_t149,CFC7_t150
8065,CP2_t286,CCP3_t287
8066,PO1_t369,CCP5_t370
8067,FC6_t379,O2_t380
8068,C1_t214,C1_t215
8069,P2_t339,P2_t340
8070,FC5_t150,FC5_t151
8071,Cz_t69,Cz_t70
8072,P5_t151,P5_t152
8073,AF4_t271,O2_t272
8074,CFC5_t116,P5_t117
8075,FC1_t223,FC1_t224
8076,CCP3_t183,CCP3_t184
8077,P1_t124,CCP5_t125
8078,CFC2_t83,CFC2_t84
8079,F2_t143,F2_t144
8080,CP1_t150,CFC3_t151
8081,AF4_t218,C2_t219
8082,FC6_t257,C5_t258
8083,AF4_t95,CFC6_t96
8084,FC4_t171,FC4_t172
8085,F3_t109,F3_t110
8086,P6_t41,P6_t42
8087,CCP7_t397,C6_t398
8088,FCz_t69,FCz_t70
8089,CPz_t388,CPz_t389
8090,CP2_t277,O2_t278
8091,CP5_t240,CP5_t241
8092,P2_t111,P2_t112
8093,CCP3_t22,P6_t23
8094,FC5_t279,FC6_t280
8095,F3_t10,F6_t11
8096,F5_t203,CCP7_t204
8097,Pz_t145,Pz_t146
8098,CP2_t198,CCP3_t199
8099,C1_t287,C1_t288
8100,CCP6_t314,O1_t315
8101,Cz_t253,Cz_t254
8102,CP4_t369,CP4_t370
8103,F3_t125,F3_t126
8104,AF3_t222,AF3_t223
8105,F6_t147,CCP8_t148
8106,F2_t263,F2_t264
8107,CCP3_t37,AF4_t38
8108,CPz_t283,AF3_t284
8109,CFC6_t328,AF4_t329
8110,C6_t108,C6_t109
8111,Cz_t34,CFC4_t35
8112,CP6_t306,CP6_t307
8113,F1_t125,CCP6_t126
8114,CCP7_t208,CCP7_t209
8115,FC2_t10,FC2_t11
8116,CP6_t236,F4_t237
8117,CCP5_t147,FC5_t148
8118,CP3_t260,P3_t261
8119,Fz_t94,CP3_t95
8120,CP6_t230,CFC1_t231
8121,CCP1_t185,CCP3_t186
8122,CCP4_t7,CCP4_t8
8123,FC1_t95,FC1_t96
8124,F5_t203,CCP5_t204
8125,FC1_t217,FC1_t218
8126,T7_t89,T7_t90
8127,CCP2_t393,PO2_t394
8128,T7_t109,T7_t110
8129,P2_t198,P2_t199
8130,CP1_t51,C6_t52
8131,CPz_t203,CFC2_t204
8132,AF4_t149,AF4_t150
8133,CPz_t285,CPz_t286
8134,T8_t384,Cz_t385
8135,T8_t161,O2_t162
8136,FC2_t86,FC2_t87
8137,CP6_t183,CP6_t184
8138,AF4_t136,AF4_t137
8139,CCP6_t1,AF3_t2
8140,C3_t54,C3_t55
8141,CP3_t86,CCP8_t87
8142,PO1_t219,PO1_t220
8143,T7_t98,P2_t99
8144,AF3_t251,AF3_t252
8145,Pz_t93,CCP4_t94
8146,CCP6_t339,CCP6_t340
8147,PO2_t273,PO2_t274
8148,F6_t0,F6_t1
8149,P2_t14,P2_t15
8150,CCP6_t324,PO2_t325
8151,PO2_t90,P2_t91
8152,CFC4_t343,FC4_t344
8153,P1_t293,P1_t294
8154,P1_t230,P1_t231
8155,Fz_t191,Fz_t192
8156,FC5_t39,FC5_t40
8157,FC2_t208,CFC5_t209
8158,CCP2_t108,CCP2_t109
8159,P3_t128,P3_t129
8160,FC4_t83,FC4_t84
8161,CCP4_t102,C1_t103
8162,C3_t151,C3_t152
8163,CP2_t127,CP2_t128
8164,F5_t147,CFC5_t148
8165,PO2_t376,PO2_t377
8166,FC3_t230,C6_t231
8167,PO2_t353,P4_t354
8168,FC2_t104,F4_t105
8169,F3_t92,PO1_t93
8170,Cz_t36,Cz_t37
8171,FCz_t262,FCz_t263
8172,P5_t133,CP3_t134
8173,Pz_t378,Pz_t379
8174,CFC6_t79,CFC6_t80
8175,CP1_t271,CCP3_t272
8176,CP6_t320,CP6_t321
8177,F1_t234,CFC5_t235
8178,C2_t192,P6_t193
8179,F4_t16,FC2_t17
8180,CP3_t298,CP3_t299
8181,CP3_t323,F2_t324
8182,C5_t16,FCz_t17
8183,CP3_t247,AF4_t248
8184,CFC7_t133,PO2_t134
8185,F6_t144,F5_t145
8186,CCP8_t187,C6_t188
8187,CFC3_t100,CFC2_t101
8188,C3_t116,C3_t117
8189,CP2_t376,Cz_t377
8190,FC3_t123,FCz_t124
8191,CCP7_t311,AF4_t312
8192,CP3_t216,CP3_t217
8193,FC2_t46,FC2_t47
8194,FC2_t93,FC2_t94
8195,Fz_t12,Fz_t13
8196,FCz_t289,PO1_t290
8197,Cz_t98,Cz_t99
8198,FC2_t344,CP2_t345
8199,CP6_t107,CP6_t108
8200,CCP7_t108,C6_t109
8201,CCP1_t324,P3_t325
8202,AF4_t143,AF4_t144
8203,F6_t364,O1_t365
8204,F1_t234,F2_t235
8205,P1_t282,P4_t283
8206,P3_t391,CP3_t392
8207,PO2_t358,CFC7_t359
8208,O2_t387,FC6_t388
8209,C2_t243,C2_t244
8210,CCP8_t322,CCP8_t323
8211,CFC7_t23,CFC7_t24
8212,F2_t86,F2_t87
8213,CFC1_t128,CFC1_t129
8214,C1_t294,FC4_t295
8215,AF3_t364,P6_t365
8216,CP3_t65,PO1_t66
8217,FC4_t69,F6_t70
8218,P4_t29,P1_t30
8219,PO2_t262,PO2_t263
8220,F4_t208,F4_t209
8221,CP4_t364,F1_t365
8222,CFC6_t105,FC5_t106
8223,CCP1_t171,Pz_t172
8224,CFC7_t84,F6_t85
8225,F5_t310,F5_t311
8226,FC1_t199,CPz_t200
8227,F4_t70,F4_t71
8228,CP1_t2,CP1_t3
8229,C6_t306,C6_t307
8230,C3_t239,C3_t240
8231,CFC5_t164,CFC5_t165
8232,C5_t286,PO2_t287
8233,CCP8_t316,CCP8_t317
8234,P2_t186,CPz_t187
8235,C2_t244,CCP6_t245
8236,CFC4_t100,C5_t101
8237,FC5_t190,FC4_t191
8238,CCP8_t377,P6_t378
8239,CFC3_t180,CFC3_t181
8240,FC2_t212,P3_t213
8241,CFC7_t268,CFC6_t269
8242,CFC6_t229,CP3_t230
8243,FC5_t226,PO1_t227
8244,CPz_t75,CPz_t76
8245,CP5_t351,C3_t352
8246,CP1_t100,CP1_t101
8247,CP5_t308,F4_t309
8248,FC3_t140,FC3_t141
8249,CPz_t230,CPz_t231
8250,Cz_t287,Cz_t288
8251,F1_t112,AF3_t113
8252,CFC8_t256,CFC8_t257
8253,CCP2_t202,CCP2_t203
8254,FC3_t204,FC3_t205
8255,F1_t84,P3_t85
8256,FCz_t232,FCz_t233
8257,F4_t150,F4_t151
8258,FC6_t203,P4_t204
8259,FC3_t398,FC3_t399
8260,PO1_t55,C6_t56
8261,CFC2_t1,CFC2_t2
8262,FC3_t185,CFC2_t186
8263,CCP1_t343,T7_t344
8264,CCP4_t177,C4_t178
8265,C1_t239,C1_t240
8266,CFC8_t270,PO2_t271
8267,CFC7_t120,C6_t121
8268,O2_t138,O2_t139
8269,FC6_t371,FC6_t372
8270,CCP6_t313,CP6_t314
8271,AF3_t116,T7_t117
8272,P6_t66,P6_t67
8273,CFC2_t292,CFC2_t293
8274,P2_t300,CP1_t301
8275,CP5_t87,CP5_t88
8276,C4_t90,C4_t91
8277,F5_t185,O2_t186
8278,CCP5_t274,CFC7_t275
8279,T7_t161,T7_t162
8280,C1_t318,C1_t319
8281,FC5_t244,C5_t245
8282,F2_t343,F2_t344
8283,O2_t356,O2_t357
8284,FC1_t380,FC1_t381
8285,CFC7_t68,O1_t69
8286,FC2_t354,CP1_t355
8287,P2_t129,P2_t130
8288,CPz_t215,CCP7_t216
8289,CCP7_t205,CCP7_t206
8290,CFC2_t119,CFC2_t120
8291,CFC1_t88,CCP3_t89
8292,CFC5_t23,CFC5_t24
8293,C1_t142,C1_t143
8294,CPz_t203,CFC4_t204
8295,P2_t386,C4_t387
8296,CP2_t373,CFC6_t374
8297,F3_t237,FC2_t238
8298,AF3_t353,CCP1_t354
8299,CCP1_t41,CFC2_t42
8300,O1_t72,F5_t73
8301,CCP4_t4,CP4_t5
8302,CP6_t231,F3_t232
8303,CCP1_t211,PO1_t212
8304,CP2_t8,CP2_t9
8305,P2_t216,F6_t217
8306,CFC5_t212,CFC6_t213
8307,CFC7_t332,CCP4_t333
8308,C5_t360,CP2_t361
8309,CFC3_t302,CFC8_t303
8310,FC6_t167,CFC5_t168
8311,Cz_t39,Cz_t40
8312,CP6_t326,CCP4_t327
8313,PO1_t222,PO1_t223
8314,FC6_t171,CCP8_t172
8315,CFC2_t372,CFC2_t373
8316,CP5_t265,P3_t266
8317,C6_t281,C6_t282
8318,FC1_t164,FC1_t165
8319,F3_t385,F3_t386
8320,CFC7_t89,PO1_t90
8321,CFC5_t98,C1_t99
8322,CFC6_t275,CFC6_t276
8323,CCP5_t337,P1_t338
8324,FC4_t64,FC4_t65
8325,CFC6_t351,T7_t352
8326,F4_t16,C4_t17
8327,CP1_t199,CP1_t200
8328,CCP3_t116,CCP4_t117
8329,Pz_t115,C2_t116
8330,CP6_t55,CP6_t56
8331,F3_t96,C6_t97
8332,PO1_t263,PO1_t264
8333,AF3_t28,CCP5_t29
8334,P6_t145,P6_t146
8335,AF4_t302,AF4_t303
8336,F3_t364,CCP1_t365
8337,CP6_t127,T7_t128
8338,F5_t81,F6_t82
8339,CFC6_t256,CFC6_t257
8340,FC2_t38,Pz_t39
8341,T8_t102,T8_t103
8342,CFC2_t112,CFC2_t113
8343,FCz_t370,CFC2_t371
8344,C2_t311,P2_t312
8345,CP3_t244,F6_t245
8346,CFC7_t321,PO2_t322
8347,F5_t354,CFC3_t355
8348,CFC1_t359,CFC7_t360
8349,FC6_t47,FC6_t48
8350,FC5_t244,CFC3_t245
8351,P5_t18,P5_t19
8352,CCP1_t227,CP4_t228
8353,Fz_t79,Fz_t80
8354,C6_t259,C6_t260
8355,T7_t128,T7_t129
8356,FC3_t100,F4_t101
8357,P5_t215,AF4_t216
8358,AF3_t311,C4_t312
8359,T8_t206,CCP2_t207
8360,CFC4_t396,CP4_t397
8361,C1_t210,C1_t211
8362,CFC4_t28,P6_t29
8363,C1_t377,C1_t378
8364,Pz_t199,CCP4_t200
8365,F5_t322,F5_t323
8366,T8_t384,CCP3_t385
8367,CFC7_t46,CFC7_t47
8368,T7_t270,T7_t271
8369,CFC3_t349,Pz_t350
8370,O2_t257,O2_t258
8371,Pz_t280,Pz_t281
8372,CP5_t7,CP5_t8
8373,CCP6_t17,CP3_t18
8374,C4_t26,P5_t27
8375,P6_t331,CPz_t332
8376,P2_t89,P2_t90
8377,C5_t335,CFC5_t336
8378,CP3_t181,CCP6_t182
8379,CP4_t10,CP4_t11
8380,P2_t295,C6_t296
8381,CFC5_t322,CFC7_t323
8382,C4_t84,C3_t85
8383,CPz_t367,C1_t368
8384,CCP4_t83,T8_t84
8385,O2_t35,C3_t36
8386,CP3_t56,O1_t57
8387,CFC7_t90,C2_t91
8388,CCP6_t152,O2_t153
8389,CFC4_t159,CFC4_t160
8390,T8_t244,CCP7_t245
8391,C3_t366,CCP3_t367
8392,F6_t75,CP3_t76
8393,F3_t198,FC1_t199
8394,T7_t323,T7_t324
8395,P6_t78,CCP2_t79
8396,F2_t240,P4_t241
8397,PO1_t54,C6_t55
8398,P6_t2,P6_t3
8399,CFC1_t153,F4_t154
8400,T7_t390,CP3_t391
8401,CFC5_t390,O2_t391
8402,AF4_t377,FC2_t378
8403,FC4_t287,CFC8_t288
8404,FC3_t293,FC3_t294
8405,F3_t233,F3_t234
8406,T7_t105,T7_t106
8407,C6_t30,C6_t31
8408,F5_t29,F5_t30
8409,T7_t133,F4_t134
8410,P2_t311,CCP6_t312
8411,CFC1_t361,FC5_t362
8412,CCP7_t282,CFC6_t283
8413,CCP3_t14,Pz_t15
8414,FCz_t38,FCz_t39
8415,CP4_t55,CP4_t56
8416,CCP4_t376,CCP8_t377
8417,F6_t182,P1_t183
8418,CFC6_t215,CPz_t216
8419,C1_t175,C1_t176
8420,CP2_t227,CP2_t228
8421,CP2_t286,F5_t287
8422,P2_t356,CFC6_t357
8423,AF4_t103,CFC6_t104
8424,P3_t17,P3_t18
8425,P5_t383,C3_t384
8426,F5_t193,T7_t194
8427,F1_t208,F1_t209
8428,CCP8_t376,AF3_t377
8429,F1_t322,F1_t323
8430,AF4_t250,Fz_t251
8431,O2_t189,O2_t190
8432,C1_t278,P6_t279
8433,F2_t10,Fz_t11
8434,CCP4_t58,CCP4_t59
8435,FC2_t130,CCP2_t131
8436,CPz_t330,P1_t331
8437,CFC1_t306,CFC1_t307
8438,CFC6_t229,CP5_t230
8439,CP2_t102,C6_t103
8440,F6_t300,F6_t301
8441,CP4_t289,CP4_t290
8442,F5_t190,F5_t191
8443,P2_t327,F1_t328
8444,CP3_t26,Cz_t27
8445,CFC3_t42,CFC3_t43
8446,PO1_t2,CFC3_t3
8447,FC4_t392,FC4_t393
8448,P4_t180,P4_t181
8449,CCP6_t236,CCP6_t237
8450,P2_t178,P2_t179
8451,CFC6_t122,T8_t123
8452,FC1_t221,FC1_t222
8453,C1_t45,C1_t46
8454,F2_t190,F2_t191
8455,FC1_t59,CP6_t60
8456,F4_t330,F4_t331
8457,P3_t20,PO1_t21
8458,CCP1_t2,CCP1_t3
8459,CCP7_t315,C3_t316
8460,CFC5_t9,CFC5_t10
8461,T7_t268,T7_t269
8462,CFC7_t77,P5_t78
8463,CP3_t243,T7_t244
8464,P6_t149,P4_t150
8465,P3_t49,P3_t50
8466,CFC1_t11,CCP8_t12
8467,P1_t60,CCP4_t61
8468,Fz_t104,CP1_t105
8469,C1_t78,C1_t79
8470,CFC2_t282,AF3_t283
8471,FCz_t308,Cz_t309
8472,CCP1_t0,CCP1_t1
8473,O2_t78,P5_t79
8474,F6_t194,F6_t195
8475,P2_t308,Pz_t309
8476,P2_t218,T8_t219
8477,F3_t138,F3_t139
8478,P1_t396,P1_t397
8479,F6_t90,F6_t91
8480,F5_t8,F5_t9
8481,FC1_t21,CFC7_t22
8482,C6_t91,C6_t92
8483,CP4_t324,CP4_t325
8484,CCP2_t342,CCP2_t343
8485,CFC7_t24,FC5_t25
8486,CP1_t284,CP1_t285
8487,CFC3_t90,CFC3_t91
8488,O2_t51,P5_t52
8489,CFC7_t228,CFC7_t229
8490,CFC3_t341,C6_t342
8491,Pz_t366,Pz_t367
8492,FC1_t350,FC1_t351
8493,F5_t201,F5_t202
8494,CCP5_t280,AF3_t281
8495,P6_t211,P6_t212
8496,CPz_t375,CCP4_t376
8497,C6_t90,C6_t91
8498,CFC3_t316,CFC1_t317
8499,O2_t16,CCP8_t17
8500,P6_t152,P6_t153
8501,CP1_t295,F5_t296
8502,CFC1_t359,F5_t360
8503,F5_t123,T7_t124
8504,CCP1_t85,CCP1_t86
8505,CFC2_t199,CP2_t200
8506,F5_t348,F5_t349
8507,F5_t190,F3_t191
8508,FC5_t367,P4_t368
8509,C2_t100,FC1_t101
8510,CCP1_t350,CCP1_t351
8511,P5_t166,P5_t167
8512,CP3_t175,P4_t176
8513,F5_t273,CFC7_t274
8514,C1_t278,PO2_t279
8515,CFC8_t5,CFC8_t6
8516,C6_t34,CFC8_t35
8517,FCz_t53,P6_t54
8518,FC2_t54,CCP6_t55
8519,F4_t127,F4_t128
8520,FCz_t165,FCz_t166
8521,FCz_t147,FCz_t148
8522,CP5_t193,AF3_t194
8523,FC5_t89,CFC8_t90
8524,CFC6_t229,CCP1_t230
8525,CCP7_t249,CCP7_t250
8526,F4_t77,F4_t78
8527,CCP4_t283,T7_t284
8528,FC5_t138,CFC6_t139
8529,PO1_t103,PO1_t104
8530,O2_t396,O2_t397
8531,CCP2_t15,CCP2_t16
8532,Cz_t115,Cz_t116
8533,CP6_t396,CP6_t397
8534,F6_t55,T8_t56
8535,P1_t18,CP4_t19
8536,CCP6_t328,CFC8_t329
8537,FC5_t197,PO2_t198
8538,P4_t221,P4_t222
8539,F1_t184,F1_t185
8540,CP1_t129,P6_t130
8541,F5_t167,F5_t168
8542,P5_t14,P5_t15
8543,CFC7_t84,AF4_t85
8544,CFC5_t322,F3_t323
8545,AF3_t35,Fz_t36
8546,CP3_t341,P3_t342
8547,FC6_t30,CCP8_t31
8548,CFC5_t29,P5_t30
8549,PO1_t55,C2_t56
8550,CFC1_t171,CFC1_t172
8551,F5_t310,CP1_t311
8552,CP1_t140,CFC7_t141
8553,AF3_t44,F4_t45
8554,CFC2_t164,CFC2_t165
8555,CFC8_t61,CFC8_t62
8556,CFC5_t204,CFC5_t205
8557,F4_t366,F4_t367
8558,AF3_t32,F6_t33
8559,CP6_t329,CCP3_t330
8560,Fz_t88,Fz_t89
8561,F3_t92,FC3_t93
8562,CCP6_t74,CCP5_t75
8563,FC3_t123,FC5_t124
8564,T7_t74,C2_t75
8565,CFC3_t394,CCP2_t395
8566,P1_t219,CP1_t220
8567,P2_t35,Pz_t36
8568,Cz_t260,PO2_t261
8569,FC2_t73,FC2_t74
8570,CP4_t360,CP4_t361
8571,O2_t233,O2_t234
8572,CFC5_t28,CFC5_t29
8573,C1_t127,F3_t128
8574,O1_t19,O1_t20
8575,FC4_t115,FC4_t116
8576,F2_t74,F2_t75
8577,F5_t184,C2_t185
8578,T7_t264,T7_t265
8579,CCP2_t240,CCP2_t241
8580,CCP7_t28,CPz_t29
8581,CFC3_t247,CFC3_t248
8582,Fz_t85,CFC7_t86
8583,CCP5_t51,CFC7_t52
8584,FC4_t287,CP6_t288
8585,C3_t210,C3_t211
8586,CCP2_t154,CCP2_t155
8587,F5_t57,T8_t58
8588,O2_t170,CFC1_t171
8589,PO2_t332,PO2_t333
8590,C5_t363,T7_t364
8591,CCP8_t356,CCP8_t357
8592,PO1_t322,PO1_t323
8593,FC5_t226,CFC5_t227
8594,CCP2_t396,CCP2_t397
8595,CCP5_t11,CCP5_t12
8596,Fz_t103,P4_t104
8597,CCP2_t355,CCP2_t356
8598,CP1_t345,CP1_t346
8599,C3_t198,C3_t199
8600,FC5_t198,PO2_t199
8601,CFC5_t130,CFC5_t131
8602,P4_t307,P4_t308
8603,CFC4_t301,O2_t302
8604,CCP7_t278,CCP7_t279
8605,CFC1_t378,CFC1_t379
8606,CCP1_t336,C5_t337
8607,CP3_t191,CP2_t192
8608,P1_t337,C5_t338
8609,C1_t187,C1_t188
8610,CPz_t46,FC6_t47
8611,P6_t34,P6_t35
8612,F1_t73,T7_t74
8613,T8_t164,CFC5_t165
8614,F5_t114,C4_t115
8615,CP4_t177,T8_t178
8616,CFC3_t310,CFC3_t311
8617,CCP6_t17,CPz_t18
8618,Pz_t105,CFC4_t106
8619,F5_t127,Cz_t128
8620,FC2_t170,F2_t171
8621,CCP4_t327,CCP4_t328
8622,F3_t166,CFC5_t167
8623,Cz_t260,P6_t261
8624,F5_t185,C4_t186
8625,FC4_t187,FC2_t188
8626,O2_t215,C5_t216
8627,P6_t167,P1_t168
8628,AF3_t151,F2_t152
8629,F3_t386,F3_t387
8630,C5_t233,C5_t234
8631,PO1_t374,PO1_t375
8632,AF3_t210,AF3_t211
8633,AF3_t132,F2_t133
8634,T8_t132,T8_t133
8635,C5_t74,C5_t75
8636,FC4_t250,Fz_t251
8637,CCP8_t258,CCP8_t259
8638,O2_t20,O2_t21
8639,T8_t22,C5_t23
8640,P6_t159,CCP6_t160
8641,FC5_t188,FC5_t189
8642,C6_t356,P6_t357
8643,CFC2_t81,CFC2_t82
8644,FC3_t387,C2_t388
8645,F3_t101,CFC5_t102
8646,O2_t336,CCP1_t337
8647,CFC7_t36,C2_t37
8648,FCz_t370,CFC1_t371
8649,CP3_t228,PO2_t229
8650,Fz_t54,P6_t55
8651,P4_t121,CFC8_t122
8652,AF4_t352,C1_t353
8653,AF3_t239,P6_t240
8654,CCP5_t292,CFC7_t293
8655,CP2_t180,CP2_t181
8656,CFC6_t251,CFC6_t252
8657,FC2_t238,FC2_t239
8658,FC6_t216,FC3_t217
8659,CFC1_t16,CCP4_t17
8660,F5_t391,CCP8_t392
8661,CCP4_t356,P5_t357
8662,F2_t297,F2_t298
8663,CP1_t277,CFC5_t278
8664,P6_t81,T8_t82
8665,T8_t380,FC3_t381
8666,CCP4_t78,CCP4_t79
8667,P6_t242,P6_t243
8668,P2_t328,P2_t329
8669,CCP1_t336,P3_t337
8670,AF3_t179,F5_t180
8671,P1_t306,CP3_t307
8672,F3_t13,F3_t14
8673,Cz_t275,Cz_t276
8674,CFC8_t368,CCP8_t369
8675,CFC2_t90,P1_t91
8676,P1_t294,CCP6_t295
8677,P1_t156,Fz_t157
8678,CP1_t12,CP1_t13
8679,C4_t163,C4_t164
8680,P6_t29,F3_t30
8681,AF3_t224,AF3_t225
8682,O1_t123,P3_t124
8683,F3_t88,FC6_t89
8684,CCP3_t13,CCP3_t14
8685,PO1_t44,PO1_t45
8686,CCP3_t155,C4_t156
8687,CFC4_t188,CFC4_t189
8688,PO1_t233,C5_t234
8689,P1_t324,P1_t325
8690,FC4_t332,FC4_t333
8691,CP6_t236,C4_t237
8692,FCz_t296,F3_t297
8693,AF3_t358,AF3_t359
